"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Shelby County, OH"	"39149"	43	49167	87.5	77.1
	"Stark County, OH"	"39151"	526	374868	140.3	101.5
	"Summit County, OH"	"39153"	501	540811	92.6	72.8
	"Trumbull County, OH"	"39155"	261	207406	125.8	86.4
	"Tuscarawas County, OH"	"39157"	107	92392	115.8	82.8
	"Union County, OH"	"39159"	36	52715	68.3	80.3
	"Van Wert County, OH"	"39161"	46	28744	160.0	121.0
	"Vinton County, OH"	"39163"	27	13239	203.9	174.9
	"Warren County, OH"	"39165"	133	217241	61.2	66.9
	"Washington County, OH"	"39167"	101	61475	164.3	116.1
	"Wayne County, OH"	"39169"	138	114848	120.2	100.6
	"Williams County, OH"	"39171"	75	37513	199.9	150.6
	"Wood County, OH"	"39173"	129	128200	100.6	93.7
	"Wyandot County, OH"	"39175"	23	22607	101.7	71.5
	"Adair County, OK"	"40001"	41	22286	184.0	179.7
	"Alfalfa County, OK"	"40003"	10	5666	Unreliable	Unreliable
	"Atoka County, OK"	"40005"	18	14007	Unreliable	Unreliable
	"Beckham County, OK"	"40009"	20	23081	86.7	87.7
	"Blaine County, OK"	"40011"	13	9785	Unreliable	Unreliable
	"Bryan County, OK"	"40013"	55	43399	126.7	103.9
	"Caddo County, OK"	"40015"	56	29678	188.7	164.5
	"Canadian County, OK"	"40017"	101	122560	82.4	94.4
	"Carter County, OK"	"40019"	78	48085	162.2	136.3
	"Cherokee County, OK"	"40021"	64	48150	132.9	124.5
	"Choctaw County, OK"	"40023"	17	15182	Unreliable	Unreliable
	"Cleveland County, OK"	"40027"	183	265638	68.9	78.4
	"Comanche County, OK"	"40031"	160	126390	126.6	152.1
	"Craig County, OK"	"40035"	30	14748	203.4	148.9
	"Creek County, OK"	"40037"	105	70651	148.6	119.6
	"Custer County, OK"	"40039"	37	28536	129.7	122.9
	"Delaware County, OK"	"40041"	59	41441	142.4	105.6
	"Garfield County, OK"	"40047"	109	61189	178.1	141.4
	"Garvin County, OK"	"40049"	44	27297	161.2	117.2
	"Grady County, OK"	"40051"	70	53118	131.8	117.9
	"Haskell County, OK"	"40061"	23	12938	177.8	134.1
	"Hughes County, OK"	"40063"	30	13836	216.8	153.9
	"Jackson County, OK"	"40065"	36	26237	137.2	129.3
	"Jefferson County, OK"	"40067"	12	6377	Unreliable	Unreliable
	"Johnston County, OK"	"40069"	13	11003	Unreliable	Unreliable
	"Kay County, OK"	"40071"	70	45831	152.7	108.7
	"Kingfisher County, OK"	"40073"	14	15005	Unreliable	Unreliable
	"Kiowa County, OK"	"40075"	16	9310	Unreliable	Unreliable
	"Latimer County, OK"	"40077"	20	11019	181.5	127.1
	"Le Flore County, OK"	"40079"	59	49873	118.3	98.7
	"Lincoln County, OK"	"40081"	33	34189	96.5	74.1
	"Logan County, OK"	"40083"	36	43666	82.4	72.4
	"Love County, OK"	"40085"	16	9558	Unreliable	Unreliable
	"McClain County, OK"	"40087"	33	35613	92.7	87.1
	"McCurtain County, OK"	"40089"	67	33203	201.8	162.5
	"McIntosh County, OK"	"40091"	39	20584	189.5	109.9
	"Major County, OK"	"40093"	16	7683	Unreliable	Unreliable
	"Marshall County, OK"	"40095"	27	15957	169.2	117.2
	"Mayes County, OK"	"40097"	68	41168	165.2	135.8
